case,patch_index,patch_kind,candidate_state,action,state_shape,channels,spatial_resolution,tensor_memory_mb,normalized_mse,delta_rms,delta_l2_norm,relative_delta_norm,relative_delta_norm_valid,gamma_vs_blur_delta_cosine,gamma_vs_blur_delta_cosine_valid,state_variance,delta_variance
CYST_PA69.nii.gz,1,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.004130631685256958,0.13968439400196075,278.7156677246094,0.06448804587125778,True,0.1384340226650238,True,4.645071029663086,0.019511664286255836
CYST_PA69.nii.gz,1,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.059393830597400665,0.5184874534606934,1034.54541015625,0.2393687218427658,True,0.1384340226650238,True,4.645071029663086,0.2687701880931854
CYST_PA69.nii.gz,1,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.0006974111893214285,0.10306873917579651,947.955810546875,0.026738382875919342,True,0.42042773962020874,True,14.658620834350586,0.010621690191328526
CYST_PA69.nii.gz,1,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.008599692955613136,0.3661900758743286,3365.6181640625,0.09493184089660645,True,0.42042773962020874,True,14.658620834350586,0.13409090042114258
CYST_PA69.nii.gz,1,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.0022233978379517794,0.06934648752212524,1459.0081787109375,0.0490141324698925,True,-0.0413183718919754,True,2.0248444080352783,0.004807197954505682
CYST_PA69.nii.gz,1,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.02381283976137638,0.22958871722221375,4830.5126953125,0.16227693855762482,True,-0.0413183718919754,True,2.0248444080352783,0.052698034793138504
CYST_PA69.nii.gz,1,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.001481706160120666,0.027159588411450386,400.9736633300781,0.037943702191114426,True,-0.038736741989851,True,0.31791406869888306,0.0007373610278591514
CYST_PA69.nii.gz,1,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.02704247646033764,0.11578982323408127,1707.53759765625,0.16158242523670197,True,-0.038736741989851,True,0.31791406869888306,0.013407169841229916
CYST_PA69.nii.gz,2,foreground,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.041927117854356766,0.23968754708766937,478.2503662109375,0.20266355574131012,True,0.18605515360832214,True,1.3104559183120728,0.05743049085140228
CYST_PA69.nii.gz,2,foreground,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.14044658839702606,0.43770503997802734,873.33984375,0.37008681893348694,True,0.18605515360832214,True,1.3104559183120728,0.191502183675766
CYST_PA69.nii.gz,2,foreground,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.0064836726523935795,0.15481624007225037,1421.410400390625,0.07908553630113602,True,0.22424988448619843,True,3.792355537414551,0.023967931047081947
CYST_PA69.nii.gz,2,foreground,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.03009769320487976,0.33911800384521484,3110.324462890625,0.17305465042591095,True,0.22424988448619843,True,3.792355537414551,0.11499552428722382
CYST_PA69.nii.gz,2,foreground,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.014192716218531132,0.10804512351751328,2261.160400390625,0.11972662061452866,True,0.01483811903744936,True,0.8160947561264038,0.011671596206724644
CYST_PA69.nii.gz,2,foreground,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.09197524189949036,0.27541837096214294,5820.513671875,0.3081915080547333,True,0.01483811903744936,True,0.8160947561264038,0.07579484581947327
CYST_PA69.nii.gz,2,foreground,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.007471468299627304,0.058980319648981094,869.7334594726562,0.08515290915966034,True,0.02744533121585846,True,0.31245145201683044,0.0034766802564263344
CYST_PA69.nii.gz,2,foreground,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.05535736307501793,0.16106493771076202,2371.993896484375,0.23223458230495453,True,0.02744533121585846,True,0.31245145201683044,0.025941837579011917
CYST_PA69.nii.gz,3,foreground,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.02589292638003826,0.1990581750869751,397.18792724609375,0.15946422517299652,True,0.0431986078619957,True,1.4771174192428589,0.0396130345761776
CYST_PA69.nii.gz,3,foreground,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.1426437348127365,0.46326079964637756,924.3336791992188,0.37110430002212524,True,0.0431986078619957,True,1.4771174192428589,0.21461038291454315
CYST_PA69.nii.gz,3,foreground,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.003690569195896387,0.11990919709205627,1100.3453369140625,0.060656651854515076,True,0.01650211587548256,True,3.8569247722625732,0.014378114603459835
CYST_PA69.nii.gz,3,foreground,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.027285315096378326,0.33599525690078735,3081.997314453125,0.16989542543888092,True,0.01650211587548256,True,3.8569247722625732,0.11288902163505554
CYST_PA69.nii.gz,3,foreground,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.01169506087899208,0.1005241721868515,2107.855224609375,0.11089365184307098,True,-0.10474409908056259,True,0.823423445224762,0.010102049447596073
CYST_PA69.nii.gz,3,foreground,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.10942378640174866,0.3090818226337433,6533.900390625,0.3437466025352478,True,-0.10474409908056259,True,0.823423445224762,0.09549491852521896
CYST_PA69.nii.gz,3,foreground,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.005455372855067253,0.05032820627093315,744.0930786132812,0.07311839610338211,True,-0.05112629011273384,True,0.30756843090057373,0.0025329275522381067
CYST_PA69.nii.gz,3,foreground,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.06408514827489853,0.17334617674350739,2562.761474609375,0.2518300712108612,True,-0.05112629011273384,True,0.30756843090057373,0.030048709362745285
HCC_10076307_20130925.nii.gz,0,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.01905541680753231,0.22221112251281738,443.3894958496094,0.12890230119228363,True,0.5859408974647522,True,2.9200236797332764,0.04932311922311783
HCC_10076307_20130925.nii.gz,0,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.20802266895771027,0.6558070778846741,1308.54296875,0.38041990995407104,True,0.5859408974647522,True,2.9200236797332764,0.4291873574256897
HCC_10076307_20130925.nii.gz,0,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.04127113148570061,0.5265328884124756,4839.43359375,0.17966940999031067,True,0.9507720470428467,True,8.472317695617676,0.27620041370391846
HCC_10076307_20130925.nii.gz,0,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.2315220832824707,1.1376166343688965,10458.7646484375,0.38829341530799866,True,0.9507720470428467,True,8.472317695617676,1.2879599332809448
HCC_10076307_20130925.nii.gz,0,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.024964187294244766,0.17521989345550537,3579.461181640625,0.14487510919570923,True,0.71324622631073,True,1.3910831212997437,0.03027399443089962
HCC_10076307_20130925.nii.gz,0,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.1580819934606552,0.4160696566104889,8578.6259765625,0.3472113013267517,True,0.71324622631073,True,1.3910831212997437,0.1723232865333557
HCC_10076307_20130925.nii.gz,0,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.004955310374498367,0.04833636432886124,714.8890380859375,0.06956912577152252,True,0.1820063292980194,True,0.30222398042678833,0.0023304943460971117
HCC_10076307_20130925.nii.gz,0,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.05503147467970848,0.16121013462543488,2371.7646484375,0.23080725967884064,True,0.1820063292980194,True,0.30222398042678833,0.025982197374105453
HCC_10076307_20130925.nii.gz,1,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.011122964322566986,0.13554151356220245,270.45220947265625,0.10533173382282257,True,0.053048841655254364,True,1.5806002616882324,0.018371429294347763
HCC_10076307_20130925.nii.gz,1,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.19694659113883972,0.535686194896698,1068.854248046875,0.4162815809249878,True,0.053048841655254364,True,1.5806002616882324,0.2864706516265869
HCC_10076307_20130925.nii.gz,1,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.0015475875698029995,0.08763297647237778,804.3113403320312,0.03954082727432251,True,0.22969816625118256,True,4.847352504730225,0.007665581069886684
HCC_10076307_20130925.nii.gz,1,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.041633158922195435,0.44549691677093506,4090.49951171875,0.20109345018863678,True,0.22969816625118256,True,4.847352504730225,0.19794674217700958
HCC_10076307_20130925.nii.gz,1,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.006043264176696539,0.07801343500614166,1644.2174072265625,0.08024057000875473,True,-0.009525450877845287,True,0.965097188949585,0.006050730589777231
HCC_10076307_20130925.nii.gz,1,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.07083702832460403,0.26283326745033264,5522.46875,0.2695057690143585,True,-0.009525450877845287,True,0.965097188949585,0.06904663890600204
HCC_10076307_20130925.nii.gz,1,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.003115676576271653,0.03834144026041031,565.9286499023438,0.05512913689017296,True,0.0644272118806839,True,0.3064693510532379,0.0014698316808789968
