method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
real_stage_blur_world_stability,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.5018421551076669,0.7183345763192199,0.9990327305222141,0.0499670373435325,case_patch_macro
real_stage_blur_world_stability,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.467819928048214,0.27997713495076726,0.5848340048312796,-0.352850800971231,case_patch_macro
real_stage_blur_world_stability,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.49996383104546654,0.4673390139382588,0.9833218547701876,-0.01564527965151619,case_patch_macro
real_stage_gamma_joint_product,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.27398832467904155,0.3535138034953924,0.9965665734202241,0.006709219793078423,case_patch_macro
real_stage_gamma_joint_product,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.24958822696146887,0.22092160492837265,0.5647335948224999,-0.4398080506207143,case_patch_macro
real_stage_gamma_joint_product,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.27324652746293066,0.4300181311677563,0.9796759898634103,-0.04297351529470672,case_patch_macro
real_stage_gamma_world_stability,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.5009424142726552,0.3534345349817519,0.9965785585309321,0.006684663006039577,case_patch_macro
real_stage_gamma_world_stability,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.45136281650485116,0.22930948203747564,0.5682555363548809,-0.4254173467018397,case_patch_macro
real_stage_gamma_world_stability,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.4999638310616353,0.43208183383691273,0.9797558703149184,-0.04177706212454146,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.2738305827340334,0.6624686237037939,0.9989619326431325,0.04449324363848689,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.2434750839766917,0.2520727186035116,0.5717819697864893,-0.39442547585644694,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.27263617527698847,0.47707655862733683,0.983435154014036,-0.017975606801557808,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA101.nii.gz,background,4,2,0.9979453148629001,0.5018501730857395,0.6951804935540518,0.9990130784131684,0.04884059140360508,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA101.nii.gz,foreground,4,2,0.44701333568132773,0.44433130525296577,0.2768060007385475,0.5783920308322816,-0.35645136275166334,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA101.nii.gz,overall,4,3,0.9880461516203703,0.49996383100127184,0.48753717317177125,0.9836090298994541,-0.013091803935665022,case_patch_macro
confidence_rank,HCC_10020116_20180118.nii.gz,background,4,3,0.9993306083165842,0.5082667344664639,0.7982355783134255,0.9997251628486341,0.03386569605033701,case_patch_macro
confidence_rank,HCC_10020116_20180118.nii.gz,foreground,4,3,0.9485934106233884,0.10461707094651201,0.1790025736179545,0.8991524729150249,-0.24441141308031888,case_patch_macro
confidence_rank,HCC_10020116_20180118.nii.gz,overall,4,3,0.998318142361111,0.5000361599717006,0.738951541676988,0.9992556937035995,0.045845235367070046,case_patch_macro
real_stage_blur_joint_product,HCC_10020116_20180118.nii.gz,background,4,3,0.9993306083165842,0.29982951282383413,0.7951479292769333,0.9997314040287324,0.02879998744582254,case_patch_macro
real_stage_blur_joint_product,HCC_10020116_20180118.nii.gz,foreground,4,3,0.9485934106233884,0.030946207533127063,0.12851850043409344,0.8838447288511683,-0.2827826230934372,case_patch_macro
real_stage_blur_joint_product,HCC_10020116_20180118.nii.gz,overall,4,3,0.998318142361111,0.29408826881145445,0.729337580531085,0.9991416646539959,0.038473750040658006,case_patch_macro
real_stage_blur_world_stability,HCC_10020116_20180118.nii.gz,background,4,3,0.9993306083165842,0.5085398056093553,0.7868308864830826,0.9997228478319597,0.02794196123294805,case_patch_macro
real_stage_blur_world_stability,HCC_10020116_20180118.nii.gz,foreground,4,3,0.9485934106233884,0.0822395862321527,0.10696502332384396,0.8778686846440663,-0.2997268628912004,case_patch_macro
real_stage_blur_world_stability,HCC_10020116_20180118.nii.gz,overall,4,3,0.998318142361111,0.4999638309279733,0.7184782736526579,0.9991085345833117,0.036378892447866414,case_patch_macro
real_stage_gamma_joint_product,HCC_10020116_20180118.nii.gz,background,4,3,0.9993306083165842,0.3023258680419735,0.786174977192748,0.9996977248165364,0.027555526651185092,case_patch_macro
real_stage_gamma_joint_product,HCC_10020116_20180118.nii.gz,foreground,4,3,0.9485934106233884,0.04325751357889334,0.16789781693714126,0.8984186992530336,-0.2526935672528498,case_patch_macro
real_stage_gamma_joint_product,HCC_10020116_20180118.nii.gz,overall,4,3,0.998318142361111,0.2966851115999547,0.7302249980495944,0.9990748637924655,0.039080395827010235,case_patch_macro
