source,action,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
world_pairwise,blur,HEM_PA89.nii.gz,foreground,2,1,0.7150203164173943,0.066522516310215,0.1857063352720975,0.5428711444660559,-0.49146476983457205
world_pairwise,blur,HEM_PA89.nii.gz,overall,2,2,0.9894101178204572,0.4999999403953552,0.8905765620966033,0.9968309336260137,0.13359259092082895
world_pairwise,gamma,HEM_PA89.nii.gz,background,2,2,0.9951465981169297,0.5092322528362274,0.9445088625872748,0.9979394372595574,0.10593341564922501
world_pairwise,gamma,HEM_PA89.nii.gz,foreground,2,1,0.7150203164173943,0.066522516310215,0.1857063352720975,0.5428711444660559,-0.49146476983457205
world_pairwise,gamma,HEM_PA89.nii.gz,overall,2,2,0.9894101178204572,0.4999999403953552,0.8905765620966033,0.9968309336260137,0.13359259092082895
confidence_rank,all,HEM_PA89.nii.gz,overall,4,4,0.9894101178204572,0.5000000298023224,0.9896816014651948,0.9998481618597437,0.20207138144997408
confidence_rank,all,HEM_PA89.nii.gz,foreground,4,2,0.7150203164173943,0.03130000829696655,0.5620743887291978,0.7408617085790787,0.09706647383047813
confidence_rank,all,HEM_PA89.nii.gz,background,4,4,0.9951465981169297,0.5099825263023376,0.9968481905923545,0.9999850099367309,0.15386469154066812
world_pairwise,all,HEM_PA89.nii.gz,overall,4,4,0.9894101178204572,0.4999999403953552,0.8905765620966033,0.9968309336260137,0.13359259092082895
world_pairwise,all,HEM_PA89.nii.gz,foreground,4,2,0.7150203164173943,0.066522516310215,0.1857063352720975,0.5428711444660559,-0.49146476983457205
world_pairwise,all,HEM_PA89.nii.gz,background,4,4,0.9951465981169297,0.5092322528362274,0.9445088625872748,0.9979394372595574,0.10593341564922501
joint_product,all,HEM_PA89.nii.gz,overall,4,4,0.9894101178204572,0.25878847390413284,0.9830540880930482,0.9997461361197102,0.16478934816325463
joint_product,all,HEM_PA89.nii.gz,foreground,4,2,0.7150203164173943,0.0026234989054501057,0.3153712722617911,0.5836632633483612,-0.2887061537686906
