table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
encoder,case,CYST_PA62.nii.gz,blur,wrong_action_wp,encoder_stage_3,4,0.14749962836503983,-0.03441598638892174,0.04924789536744356,,,,,
encoder,case,CYST_PA62.nii.gz,blur,wrong_action_wp,encoder_stage_4,4,0.1252008844166994,-0.011010678630555049,0.034994843415915966,,,,,
encoder,case,CYST_PA62.nii.gz,blur,wrong_action_wp,encoder_stage_5,4,0.13312922790646553,0.011702956398949027,0.01900648046284914,,,,,
encoder,case,CYST_PA62.nii.gz,blur,wrong_action_wp,encoder_bottleneck_deepest,4,0.10183057188987732,0.04217621497809887,0.042704345658421516,,,,,
final,case,CYST_PA62.nii.gz,blur,wrong_action_wp,,4,,,,0.004821433452889323,0.007761181332172058,5.712657928466797,0.8866495391112399,0.8158528692965827
encoder,case,CYST_PA62.nii.gz,blur,real_action_oracle,encoder_stage_2,4,0.0,1.0000001192092896,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,real_action_oracle,encoder_stage_3,4,0.0,0.9999998509883881,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,real_action_oracle,encoder_stage_4,4,0.0,0.9999999701976776,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,real_action_oracle,encoder_stage_5,4,0.0,1.0000000298023224,1.0,,,,,
encoder,case,CYST_PA62.nii.gz,blur,real_action_oracle,encoder_bottleneck_deepest,4,0.0,1.0000000596046448,1.0,,,,,
final,case,CYST_PA62.nii.gz,blur,real_action_oracle,,4,,,,0.0,0.0,0.0,1.0,1.0
encoder,case,HCC_10020116_20180118.nii.gz,gamma,identity_source,encoder_stage_2,4,0.017249921103939414,,0.0,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,identity_source,encoder_stage_3,4,0.012228518258780241,,0.0,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,identity_source,encoder_stage_4,4,0.011813183315098286,,0.0,,,,,
encoder,case,HCC_10020116_20180118.nii.gz,gamma,identity_source,encoder_stage_5,4,0.010545243974775076,,0.0,,,,,
