case_id,patch_index,patch_kind,action,layer,feature_shape,delta_norm,relative_delta,cosine_similarity,mse
HEM_PA13.nii.gz,1,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,58.68161392211914,0.06858562678098679,0.9976469874382019,0.049819618463516235
HEM_PA13.nii.gz,1,context,blur,encoder_stage_1,1x32x192x192x192,6181.3828125,0.5149030089378357,0.8634995222091675,0.16870099306106567
HEM_PA13.nii.gz,1,context,blur,encoder_stage_2,1x64x96x96x96,4231.41259765625,0.48157599568367004,0.881111741065979,0.316211074590683
HEM_PA13.nii.gz,1,context,blur,encoder_stage_3,1x128x48x48x48,1921.4195556640625,0.3745104670524597,0.9289644956588745,0.26080191135406494
HEM_PA13.nii.gz,1,context,blur,encoder_stage_4,1x256x24x24x24,1079.2332763671875,0.3320600688457489,0.945619523525238,0.32912200689315796
HEM_PA13.nii.gz,1,context,blur,encoder_stage_5,1x320x12x12x12,551.2205810546875,0.2681153118610382,0.9637259244918823,0.5494866371154785
HEM_PA13.nii.gz,1,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,199.33738708496094,0.2329806387424469,0.9727172255516052,0.5748754739761353
HEM_PA13.nii.gz,2,foreground,gamma,encoder_stage_1,1x32x192x192x192,1547.604736328125,0.12882988154888153,0.9916983842849731,0.010574661195278168
HEM_PA13.nii.gz,2,foreground,gamma,encoder_stage_2,1x64x96x96x96,1142.1602783203125,0.12874747812747955,0.9917116165161133,0.0230388306081295
HEM_PA13.nii.gz,2,foreground,gamma,encoder_stage_3,1x128x48x48x48,561.906494140625,0.10846530646085739,0.9941205382347107,0.022304601967334747
HEM_PA13.nii.gz,2,foreground,gamma,encoder_stage_4,1x256x24x24x24,338.17938232421875,0.10367818176746368,0.9946109652519226,0.03231622278690338
HEM_PA13.nii.gz,2,foreground,gamma,encoder_stage_5,1x320x12x12x12,198.94491577148438,0.09744846075773239,0.9952614903450012,0.07157675176858902
HEM_PA13.nii.gz,2,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,75.91260528564453,0.08901825547218323,0.9960404634475708,0.08337273448705673
HEM_PA13.nii.gz,2,foreground,blur,encoder_stage_1,1x32x192x192x192,6206.57177734375,0.5166641473770142,0.8621947169303894,0.17007867991924286
HEM_PA13.nii.gz,2,foreground,blur,encoder_stage_2,1x64x96x96x96,4438.71923828125,0.5003447532653809,0.8719648122787476,0.3479538559913635
HEM_PA13.nii.gz,2,foreground,blur,encoder_stage_3,1x128x48x48x48,2038.4945068359375,0.3934924006462097,0.9214401841163635,0.2935522496700287
HEM_PA13.nii.gz,2,foreground,blur,encoder_stage_4,1x256x24x24x24,1108.6644287109375,0.33989155292510986,0.9429121017456055,0.3473173677921295
HEM_PA13.nii.gz,2,foreground,blur,encoder_stage_5,1x320x12x12x12,610.66748046875,0.29912102222442627,0.9548724293708801,0.674397349357605
