level,case,uncertainty_variant,score_metric,scope,num_voxels,positive_voxels,error_prevalence,pr_random_baseline,roc_auc,pr_auc,excluded_both_empty
global,,visual_only,std,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9329661930822193,0.22714378529501833,False
global,,visual_only,std,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3898336105666954,0.4130791492556667,True
global,,visual_only,std,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5283728511638373,0.2403241296278727,True
global,,visual_only,std,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9149415839873494,0.26025685310297075,True
global,,visual_only,pairwise_abs,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9325965128309125,0.2275368881204533,False
global,,visual_only,pairwise_abs,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3886287182647544,0.41309852168315736,True
global,,visual_only,pairwise_abs,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5288721617911346,0.24393492484142754,True
global,,visual_only,pairwise_abs,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9149461935949649,0.2603968253401707,True
case,CYST_PA62.nii.gz,language_only,mean_probability,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9443363286599269,0.13012525259638827,False
case,CYST_PA62.nii.gz,language_only,mean_probability,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.14772952251130528,0.230875606318298,True
case,CYST_PA62.nii.gz,language_only,mean_probability,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.3089739075265062,0.08907396640471912,True
case,CYST_PA62.nii.gz,language_only,mean_probability,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.879429120167595,0.2906000891932751,True
case,CYST_PA62.nii.gz,language_only,variance,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.948438048952987,0.19948166586930294,False
case,CYST_PA62.nii.gz,language_only,variance,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.39102310428227816,0.32288523964694216,True
case,CYST_PA62.nii.gz,language_only,variance,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6068463260124695,0.16571775459721094,True
case,CYST_PA62.nii.gz,language_only,variance,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8821633066927623,0.28988110499501807,True
case,CYST_PA62.nii.gz,language_only,std,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.948438048952987,0.19948166586930294,False
case,CYST_PA62.nii.gz,language_only,std,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.39102310428227816,0.32288523964694216,True
case,CYST_PA62.nii.gz,language_only,std,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6068463260124695,0.16571775459721094,True
case,CYST_PA62.nii.gz,language_only,std,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8821633066927623,0.28988110499501807,True
case,CYST_PA62.nii.gz,language_only,pairwise_abs,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9484362246389494,0.19948164952675604,False
case,CYST_PA62.nii.gz,language_only,pairwise_abs,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.39102310428227816,0.32288523964694216,True
case,CYST_PA62.nii.gz,language_only,pairwise_abs,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6068463260124695,0.16571775459721094,True
case,CYST_PA62.nii.gz,language_only,pairwise_abs,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8821633036630092,0.28988110499501796,True
case,CYST_PA62.nii.gz,visual_language,mean_probability,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9481819929673151,0.1345076247873184,False
case,CYST_PA62.nii.gz,visual_language,mean_probability,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.15328410783381533,0.23189172105798458,True
case,CYST_PA62.nii.gz,visual_language,mean_probability,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.3166802143101822,0.09001306918023494,True
case,CYST_PA62.nii.gz,visual_language,mean_probability,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8898821364716276,0.294184602207411,True
case,CYST_PA62.nii.gz,visual_language,variance,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9553212862454105,0.23851925462848683,False
case,CYST_PA62.nii.gz,visual_language,variance,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.4519889172615067,0.3931536370886458,True
case,CYST_PA62.nii.gz,visual_language,variance,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6906365486214135,0.2747746709107742,True
case,CYST_PA62.nii.gz,visual_language,variance,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8989600514358763,0.26742287575198176,True
case,CYST_PA62.nii.gz,visual_language,std,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9553212863194017,0.23851925511242766,False
case,CYST_PA62.nii.gz,visual_language,std,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.45198891722888207,0.3931536268397266,True
case,CYST_PA62.nii.gz,visual_language,std,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6906365480534882,0.27477462943527853,True
case,CYST_PA62.nii.gz,visual_language,std,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8989600514254362,0.2674228745281123,True
case,CYST_PA62.nii.gz,visual_language,pairwise_abs,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9550088824535523,0.23692594459393893,False
case,CYST_PA62.nii.gz,visual_language,pairwise_abs,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.44743246478133303,0.3881261961306545,True
case,CYST_PA62.nii.gz,visual_language,pairwise_abs,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.687797877681556,0.2689906240865827,True
case,CYST_PA62.nii.gz,visual_language,pairwise_abs,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8982053625775084,0.2692512041447361,True
case,CYST_PA62.nii.gz,visual_only,mean_probability,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9487069479854947,0.13505667484813075,False
case,CYST_PA62.nii.gz,visual_only,mean_probability,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.15434747493664028,0.23209213733427603,True
case,CYST_PA62.nii.gz,visual_only,mean_probability,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.3185731026010141,0.09024319266076121,True
case,CYST_PA62.nii.gz,visual_only,mean_probability,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8913078157338044,0.29467411974508406,True
case,CYST_PA62.nii.gz,visual_only,variance,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9553558161147678,0.23911162427313626,False
case,CYST_PA62.nii.gz,visual_only,variance,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.4542233316663399,0.3938098600824908,True
case,CYST_PA62.nii.gz,visual_only,variance,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6911664375509688,0.2734329180237703,True
case,CYST_PA62.nii.gz,visual_only,variance,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8989950133424122,0.26775546009884227,True
case,CYST_PA62.nii.gz,visual_only,std,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9553558161770362,0.23911162313950246,False
case,CYST_PA62.nii.gz,visual_only,std,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.45422333105734747,0.39380985951224845,True
case,CYST_PA62.nii.gz,visual_only,std,predicted_positive,453553,60473,0.13333171646974004,0.13333171646974004,0.6911664351530615,0.27343291155497085,True
case,CYST_PA62.nii.gz,visual_only,std,predicted_negative,13702223,173462,0.012659405703731431,0.012659405703731431,0.8989950133251542,0.2677554600384547,True
case,CYST_PA62.nii.gz,visual_only,pairwise_abs,all_voxels,28311552,233935,0.008262881526240596,0.008262881526240596,0.9552847753290482,0.2389725300923727,False
case,CYST_PA62.nii.gz,visual_only,pairwise_abs,foreground_union,627015,233935,0.3730931476918415,0.3730931476918415,0.4521899228660878,0.3932573728619058,True
